timestamp: 20231031225128
trade_count: 112187
total_profit: 2655524.0
size of result_df: 15464
ratio: 0.13784128285808517
average days_held: 10.560653195111733
average profit: 23.670514408977866
Source code for 'gen_signal_func':
def gen_daily_buy_signal_five(data):
    """
    前辈指标

    :param data:
    :return:
    """
    # 效果：
    # 任然无法避免买入后继续跌，概率增加，持有天数减少

    # 还需继续优化
    K,D,J = KDJ(data['收盘'],data['最高'],data['最低'])
    data['J'] = J
    data['买'] = data['J'].apply(lambda x: 10 if x < 0 else 0)
    # data['Buy_Signal'] = (9.9 < data['买'].shift(1)) & (9.9 > data['买']) & (data['日期'] > '2013-01-01')
    # data['Buy_Signal'] = (9.9 < data['买'].shift(2)) & (9.9 > data['买'].shift(1)) & (data['涨跌幅'] < 0) & (data['日期'] > '2013-01-01')
    # 再往前判断前两天是否有穿越，并且连续两天是否都下跌
    data['Buy_Signal'] = (9.9 < data['买'].shift(3)) & (9.9 > data['买'].shift(2)) & (data['涨跌幅'] < 0) & (data['日期'] > '2013-01-01')
    return data




           名称      代码   Buy Date  Buy Price  Sell Date  Sell Price  Profit  Total_Profit  Growth Rate (%)  Days Held  Buy_Index
11225    现代投资  000900 2015-06-25       6.23 2023-10-20        3.95  -228.0 -1.930000e+02       -36.597111       1880       3856
12945    蓝丰生化  002513 2015-06-25      21.74 2023-10-20        6.74 -1500.0 -1.324000e+03       -68.997240       1879       1039
8925      易普力  002096 2016-01-08      20.78 2023-10-20       10.03 -1075.0 -6.900000e+02       -51.732435       1879       2117
14839    雪峰科技  603227 2016-01-08      12.61 2023-10-20        7.27  -534.0 -3.190000e+02       -42.347343       1875        119
9597     武汉控股  600168 2015-06-25      15.04 2023-10-20        6.16  -888.0 -7.360000e+02       -59.042553       1874       4042
14685    闽发铝业  002578 2015-06-25       6.37 2023-10-20        3.51  -286.0 -2.280000e+02       -44.897959       1869        993
12012    科陆电子  002121 2015-06-25      13.15 2023-10-20        5.31  -784.0 -6.560000e+02       -59.619772       1869       1971
9085     普邦股份  002663 2015-06-25      11.29 2023-10-20        1.80  -949.0 -8.460000e+02       -84.056687       1863        724
11727    省广集团  002400 2015-06-25      16.62 2023-10-20        4.87 -1175.0 -8.970000e+02       -70.697954       1856       1181
14281    金钼股份  601958 2015-06-25      11.97 2023-01-30       12.80    83.0  2.180000e+02         6.934002       1846       1738
714      ST荣华  600311 2015-06-25      11.19 2023-03-02        0.61 -1058.0 -9.710000e+02       -94.548704       1844       3199
15054    风神股份  600469 2015-06-25      13.18 2023-10-20        5.53  -765.0 -6.990000e+02       -58.042489       1843       2785
3417      信雅达  600571 2015-11-26      33.74 2023-10-20        9.01 -2473.0 -2.158000e+03       -73.295791       1834       3046
7118     山东矿机  002526 2015-06-25       5.50 2023-10-20        2.52  -298.0 -2.590000e+02       -54.181818       1834       1079
2666     中鼎股份  000887 2015-06-25      29.08 2023-10-20       11.81 -1727.0 -1.660000e+03       -59.387895       1831       3828
4309     华东重机  002685 2015-06-12      20.31 2023-10-20        3.75 -1656.0 -1.601000e+03       -81.536189       1831        713
15060    风范股份  601700 2015-06-25      11.95 2023-10-20        4.56  -739.0 -6.480000e+02       -61.841004       1827       1058
15270    鹏都农牧  002505 2015-06-25       5.09 2023-10-20        1.58  -351.0 -3.070000e+02       -68.958743       1824       1064
4310     华东重机  002685 2015-06-25      15.17 2023-10-20        3.75 -1142.0 -2.743000e+03       -75.280158       1823        721
351      ST工智  000584 2015-06-12      30.07 2023-10-20        4.06 -2601.0 -2.544000e+03       -86.498171       1821       4503
9903     江苏有线  600959 2015-11-26      17.52 2023-10-20        3.02 -1450.0 -5.808000e+03       -82.762557       1818        143
352      ST工智  000584 2015-06-25      22.07 2023-10-20        4.06 -1801.0 -4.288000e+03       -81.603987       1813       4511
12295    综艺股份  600770 2016-05-05      15.50 2023-10-20        4.62 -1088.0 -8.800000e+02       -70.193548       1806       4576
4976     博云新材  002297 2015-06-25      21.18 2023-10-20        7.18 -1400.0 -1.336000e+03       -66.100094       1799       1366
176      ST升达  002259 2015-06-25      12.64 2023-10-20        3.22  -942.0 -8.220000e+02       -74.525316       1798       1657
11068    燕京啤酒  000729 2015-06-25      11.38 2022-11-11       11.62    24.0  7.100000e+01         2.108963       1796       4284
9904     江苏有线  600959 2016-01-04      13.94 2023-10-20        3.02 -1092.0 -6.900000e+03       -78.335725       1792        169
7718     建发股份  600153 2015-06-25      15.65 2023-10-20        9.22  -643.0 -4.990000e+02       -41.086262       1789       4061
6030      大悦城  000031 2015-08-31      18.09 2023-10-20        3.44 -1465.0 -1.162000e+03       -80.983969       1788       5206
8063     恒立实业  000622 2016-05-06      12.16 2023-10-20        4.44  -772.0 -6.400000e+02       -63.486842       1777       2918
4142     北京文化  000802 2016-04-15      26.82 2023-10-20        5.64 -2118.0 -1.654000e+03       -78.970917       1768       4225
1869     中原内配  002448 2016-07-14      14.30 2023-10-20        6.86  -744.0 -4.740000e+02       -52.027972       1765       1444
1327     上海电气  601727 2015-06-25      16.88 2023-10-20        4.49 -1239.0 -1.185000e+03       -73.400474       1764       1569
4505     华数传媒  000156 2016-01-08      23.65 2023-10-20        7.09 -1656.0 -1.050000e+02       -70.021142       1762       2057
6420     太极集团  600129 2015-06-25      31.55 2022-10-24       32.98   143.0  2.460000e+02         4.532488       1758       4063
4877     南兴股份  002757 2016-04-06      23.79 2023-10-20       13.47 -1032.0 -7.050000e+02       -43.379571       1746        208
7298     川仪股份  603100 2015-06-25      25.42 2022-09-22       25.54    12.0  1.210000e+02         0.472069       1727        216
8534      新华锦  600735 2016-01-04      21.73 2023-10-20        5.90 -1583.0 -1.347000e+03       -72.848596       1727       4356
5625     国新文化  600636 2015-06-25      22.83 2023-10-20        9.36 -1347.0 -1.053000e+03       -59.001314       1718       5315
12695    芭田股份  002170 2016-09-23      10.90 2023-10-20        5.45  -545.0 -4.070000e+02       -50.000000       1716       2063
578      ST洲际  600759 2015-06-25      13.36 2023-10-20        2.48 -1088.0 -1.047000e+03       -81.437126       1712       3740
12921    萃华珠宝  002731 2015-06-25      22.83 2022-07-01       23.84   101.0 -1.593000e+03         4.424004       1688        157
10740     深南退  002417 2015-12-28      21.26 2023-07-07        0.45 -2081.0 -1.875000e+03       -97.883349       1683       1232
5241     合金投资  000633 2015-12-31      14.66 2023-10-20        6.90  -776.0 -5.740000e+02       -52.933151       1682       3900
